,Int1,G16,G42,G13,G08,G52,G24,G59,G31,G50,G61,G22,G09,G62,Int3,Int2
DS002.STnew,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
B8300.STnew,absence,absence,absence,presence,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
ABNIH28.STnew,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
B8342.STnew,presence,absence,presence,absence,presence,absence,absence,absence,presence,absence,absence,absence,absence,absence,absence,absence
D1279779.ST267,presence,absence,absence,absence,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
R2090.ST267,presence,absence,absence,presence,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
AB042.ST437,presence,absence,presence,absence,absence,absence,absence,absence,presence,absence,absence,absence,presence,presence,absence,presence
ATCC 17978.ST437,presence,absence,presence,absence,absence,absence,absence,absence,presence,absence,absence,absence,presence,presence,absence,presence
ZW85-1.ST639,presence,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
HWBA8.ST25,presence,absence,presence,absence,presence,presence,absence,absence,absence,presence,absence,absence,absence,absence,absence,absence
AR_0088.ST25,presence,absence,presence,absence,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
R2091.ST126,presence,absence,absence,absence,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
CIP70.10.ST126,presence,absence,absence,absence,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
A1296.ST138,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
AB031.ST638,presence,absence,presence,absence,absence,absence,absence,absence,absence,presence,absence,absence,absence,absence,absence,absence
ab736.ST52,presence,presence,absence,presence,absence,presence,absence,absence,absence,absence,absence,absence,presence,absence,absence,absence
IOMTU 433.ST622,presence,absence,presence,absence,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
6200.ST464,presence,presence,absence,absence,presence,absence,absence,absence,absence,absence,presence,absence,absence,absence,absence,absence
3207.ST422,presence,absence,absence,absence,absence,presence,absence,absence,presence,absence,absence,absence,presence,absence,absence,absence
AF-401.ST79,absence,absence,presence,absence,absence,absence,absence,absence,presence,absence,absence,absence,absence,absence,absence,absence
AR_0101.STnew,presence,presence,absence,absence,absence,absence,absence,presence,presence,absence,absence,absence,absence,absence,absence,absence
AR_0063.ST79,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
AB030.ST79,absence,presence,presence,absence,absence,presence,absence,presence,presence,absence,absence,absence,absence,absence,absence,absence
AbH12O-A2.ST79,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
XH858.ST23,presence,presence,presence,presence,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
BJAB0715.ST23,presence,presence,absence,presence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence,absence
